ID,pos_m0_1,pos_m0_2,pos_m0_3,pos_m0_4,pos_m0_5,pos_m0_6,pos_m100_1,pos_m100_2,pos_m100_3,pos_m100_4,pos_m100_5,pos_m100_6,pos_m200_1,pos_m200_2,pos_m200_3,pos_m200_4,pos_m200_5,pos_m200_6,pos_m300_1,pos_m300_2,pos_m300_3,pos_m300_4,pos_m300_5,pos_m300_6,pos_m500_1,pos_m500_2,pos_m500_3,pos_m500_4,pos_m500_5,pos_m500_6,pos_m700_1,pos_m700_2,pos_m700_3,pos_m700_4,pos_m700_5,pos_m700_6
Com_8_neg,5440187185,4163902680,4674253745,4370430065,5321418708,4881340202,4918503636,4686812160,6106210230,5332150349,4835592557,5166437830,3143700946,3118941247,3481143957,3678093303,4085847087,2650658751,2942244156,3088346036,3553369888,3385001012,3898744723,1739472814,3974763059,3747400110,3307130893,3928205630,4468423611,4315920457,3487540579,2642410145,3059866572,2585336618,2811660964,2733449476
Com_18_neg,2606611181,2320389092,2836032895,2603305605,2592583501,2510178009,2228772223,2217988258,2738554357,2246734576,2244330540,2134864977,1359385673,1540935168,1245478155,1305621287,1563544451,1411426507,1373208469,1203745176,1428972929,1325349403,1159309632,1138590002,1172662127,1338689376,1430391963,1331341216,970381542.4,1329933227,963370291.7,1228829783,1005409005,1027509434,1156464456,659240681.2
Com_36_neg,551733463,317498245.9,510251779.5,495052083.5,795590029.9,585574099.6,615924709.5,1279673275,1476457674,598995586.8,638843410.4,581715575,486962922.5,415798604.8,440879452.9,799044445.2,352055882.7,253468541.3,408850380,264518304.6,438303584.7,724789008.5,272992159.4,398969720.4,330037538.6,590457704.8,416506135.6,175917260.6,272837457.6,333950439.3,275135803.8,185923370.9,256453944.3,197604877.2,240620731.5,179528107.5
Com_44_neg,888528672.9,594784872.1,846517749.8,736563864.5,866607661.5,843737382.7,970672422.8,972878735.5,1165285589,799478905.5,1036354541,935735235.3,741941997.1,790835304.7,752404982.2,849426237.3,785369115.1,1008998589,525581552.6,557276414.6,573496137.4,590753502.8,802921974,582619849.7,663436970.5,666612878.5,637346820.1,599047470.6,647355281.1,685889040.4,741589427.9,520463807.6,499026077.6,408938546.3,502619701.3,412286589
Com_76_neg,632181567.3,616261796,683124327.8,540958722.6,408371145.8,598222851.3,519174581,479699666.2,684712477,492763956.4,542566753.4,497456283,377954970.4,384410309,392177524.6,414104496.1,414039843.8,273599260.7,361346358.1,334794144.4,191593144,317824513.9,212282096.8,291782365.7,402904999.2,269206308.4,360542420.8,426812334.4,274150162.4,524912643.4,488861314.5,271265581.5,371590351.7,254074281.1,208286418,281154119.1
Com_91_neg,522735849.5,263930682.5,349529756.1,283088698.8,380711799.9,354296066.1,507349054.3,374801451.8,494088301.3,369259110.9,412003051.8,347341379.1,304312644.6,345999477.5,321788725.5,485442325,346806219.4,289210740.5,284774671.5,275804887.3,227020323.5,318666526.3,344963920,325579257.3,216266459.6,231969836.8,191830831.9,218377391.5,211290588.9,213216156.8,149723851.1,115301998.8,127723215.9,125238963.2,135190494.9,160918876.3
Com_147_neg,224890447.5,131680882.7,194429830.9,144554693.1,205244014.3,207513093.3,220237588.3,207861148.8,321486330.1,199581633.6,276152401.2,206415446,133376905.1,154367042.8,127171552.3,169467035,162254472.4,174079538.8,122696592.6,115940235.6,136562676.3,128428369.7,145883166.6,153857373.6,83598501.54,89214419.02,69049518.01,78045931.78,75912376.29,77793487.01,51832118.98,38511928.11,40938925.81,43281343.6,41817882.43,61962024
Com_163_neg,258867317.3,293380480.7,305673699.6,313982194.7,210320548,280882675.3,140247602.8,139535967.3,178176068.9,137844600.5,97087648.54,160261055.2,80192178.47,52985427.47,54149523.69,57143079.35,84375580.15,81372669.86,119299363.6,112389524.5,108490522.2,111138617.7,76509686.23,78032949.98,160606109.3,169074183.4,185401354.2,154335013.5,166708852.7,164266845.7,179896701.1,160105548.8,180181079.3,163052691.3,144729792.7,142361299.6
Com_247_neg,125587539,136406809.2,133009784.1,101653383.3,142688310.5,143655578,99530902.78,109180199.9,111922099.6,88268667.64,112218022.5,101299229.1,141713310.2,188202539.7,125615084.9,165779909.6,153612380.9,161544554.1,100539569.5,113524528.1,101933229,113437787,120370013.7,126200931,92239702.61,84070229.3,98635963.47,73572311.53,100864281,83325784.87,143013470.5,117954841.1,138278995.8,128074197.9,119943744.5,147032208.4
Com_290_neg,126169470.6,110099962.1,164042047.3,138059019.4,95565638.89,124802417.1,62684798.02,62622832.74,53472655.04,60452501.22,61997926.23,66849125.79,32182168.78,25988588.52,29703128.02,28406978.25,35203520.04,31372342.71,35224849.47,41061527.25,27890929.73,26557991.16,29893035.27,28676958.64,43688544.43,39731708.85,44855907.21,50820385.55,36967413.59,44411797.61,46349953.84,41349060.96,61999855.48,46438642.74,49067277.06,41837784.19
Com_447_neg,63022888.49,48038242.16,67046992.08,55908166.88,65307806.98,56702701.41,70784941.82,78429512.79,71930558.51,70703093.65,71370877.17,67459509.52,61829928.03,69218199.19,68616875.19,61170442.27,58023060.69,57329038.83,88521720.25,80739677.08,83739880.37,84025666.57,88386042.86,92281212.75,77051118.21,71022335.84,71590383.85,89532599.1,83205194.29,72704663.82,99996954.99,113263246.9,113415041.1,109202844.1,108129266.6,124880365.9
Com_748_neg,42947186.68,53658574.92,34057644.64,29889068.24,38270100.02,36883104.43,48794977.13,42369506.46,43954395.09,38910075.29,53658289.65,40967704.59,47928066.08,33818950.29,36956395.7,40824889.06,34944777.19,36723512.3,46823886.16,44482725.89,48629834.86,42596201.79,49548729.13,48250716.88,36376908.26,44050385.64,37645045.74,43983808.27,51107156.19,49672327.13,12981676.78,52029174.69,53332524.41,56270129.94,54932622.98,55419070.95
Com_767_neg,32403559.41,36226498.22,29282041.87,32783637.16,34326267.05,33274478.32,2352718.441,2276857.193,2036731.195,2169231.152,1950832.075,2144940.814,1992976.739,2582132.787,2028503.37,1950945.952,1585363.077,1789698.516,2861261.031,2059227.503,2872612.933,2366621.123,2069124.453,2200771.69,3459655.314,3326560.866,3068323.392,2700929.766,4306157.102,3048274.217,68276656.32,72669942.24,65768768.02,55854465.18,83094349.51,84079536.56
Com_831_neg,32163272.84,30214104.74,41858894.6,33317321.41,22332126.77,36986479.41,7272788.038,6807523.939,6090619.693,7364689.134,6812387.245,7457461.209,9049265.728,8961531.393,8386210.862,9421676.715,8776858.975,8304093.68,8782320.359,8250643.409,7656978.335,5740581.904,7512045.588,8173775.431,53920451.22,64294317.46,74980552.8,55824292.3,70278834.32,46975294.21,44323238.35,36809471.9,41207380.52,46040499.24,32359198.88,39029130.25
