Name,pos_m0_1,pos_m0_2,pos_m0_3,pos_m0_4,pos_m0_5,pos_m0_6,pos_m100_1,pos_m100_2,pos_m100_3,pos_m100_4,pos_m100_5,pos_m100_6,pos_m200_1,pos_m200_2,pos_m200_3,pos_m200_4,pos_m200_5,pos_m200_6,pos_m300_1,pos_m300_2,pos_m300_3,pos_m300_4,pos_m300_5,pos_m300_6,pos_m500_1,pos_m500_2,pos_m500_3,pos_m500_4,pos_m500_5,pos_m500_6,pos_m700_1,pos_m700_2,pos_m700_3,pos_m700_4,pos_m700_5,pos_m700_6,TARGET
Betaine,18222827255,16593989077,19899067785,24501080274,8114464615,19047444827,13793303949,13597369225,14849162321,15099053054,13814895358,15219645512,15452637827,18252516333,4216672843,15915483227,16590407174,17638619749,10862842460,12050203998,11579408224,12381667473,14056871623,9933138539,16943093882,15564720519,16476273643,14909055234,16262571443,15932747265,18398701619,17645836983,17145431511,16033206723,15465477023,13622708050,0
Pipecolic acid,104896478.8,92647148.49,197546828,82064971.04,98913595.62,114636168.6,304688241.4,279451949.7,404787007.6,253350971.8,394474422.6,301595413.7,137423822.8,156487859.6,145734341.2,161823364,157856306.5,208394298.5,737488609.9,405165325,842449502.8,1009793787,755959320.8,1182603989,899395058.3,974620429.1,1517224621,679509266,662256706.6,901291697.4,1937614987,1244893818,1024588638,1027384560,787662434.5,1417852850,0
Acetophenone,556056115.6,424979808.5,522849133.7,608528987.3,703678722,517373821,467943976,350042936.5,414705893.2,337156902.5,415496779.1,358831053.1,597024758.1,602797171.9,546771630.7,516704320.5,526505551.9,437830089.5,379245054.2,379267739.6,296635565.6,434775281,380427156.8,450141955.7,340370662.9,498468859.3,436774307.6,540124598.8,506183736.7,408845018.2,341733949.5,341298216.5,352658046.2,265704873.9,312340633.3,372081049,0
Trigonelline,75971875.27,82621155.55,80199263.96,76792898.37,72584141.3,83454796.68,166994970.2,126948552,154994330.2,176676071.8,161778263.9,161340508.2,150726318.7,183896841.7,164644711.9,119244441.4,120280709.5,162781686.4,145711656.7,139317992,157250954.8,114084868.8,141260072.5,177458388.9,131922483.7,131347039.6,183673033.9,148411932.8,142204768.3,131827857.4,183644210.9,187688678.7,181018196.6,150327374.7,192333821.8,133933949.3,1
L-Pyroglutamic acid,99212361.18,85034084.38,136531138.1,91090730.35,92946974.22,103050116.4,37238856.39,37221914.1,38519421.02,44056551.79,41303864.47,37859567.44,31220408.3,40473797.14,33757678.37,30391875.78,31603689.42,40389294.42,26889737.07,24440876.08,29724048.38,26369095.98,33157540.15,8133646.255,57280087.53,77047065.49,64635660.22,50001334.88,76260949.61,52181615.85,46702965.28,47140396.5,38841524.11,41904386.4,37307815.15,37631538.75,1
3-Methoxybenzaldehyde,131960151.4,114612147.9,104884799,84654053.06,140395130.1,115958612,76874240.08,78013668.85,66199004.7,75688439.6,89425460.81,82376016.29,73185120.14,69939355.89,76706240.64,86265552.69,77938524.8,113217923.5,88742664.81,109171880.9,123068370.7,108364995.6,94060627.88,91698631.64,85420901.28,79413577.8,87201706.21,77009927.16,86682687,72111891.82,104540336.9,91047348.33,100678147.7,79326228.48,72741204.86,51015580.8,0
Diosmetin,49921607.54,35234735.27,41978957.92,40180698.24,55817343.37,51675350.22,45550583.95,44236537.41,48669094.96,43414365.47,58210454.41,58800878.65,78157578.46,86316809.58,81215745.86,94218288.74,91539590.8,77074624.54,24230566.77,30283129.97,26836050.34,34445024.22,34050965.39,40390581.05,24605444.9,17003548.4,12237615.42,19154255.78,28322513.09,19675165.39,30840880.15,19090947.27,21671450.82,24679963.83,26215454.92,26092933.87,0
Apocynin,93823655.11,63845195.88,67174549.34,69893335.57,114994817.8,80398657.59,82096506.02,77797934.25,88296996.88,82401494.96,86438762.82,74383502.4,60538788.06,54886913.6,59039126.76,63118130.78,56266564.74,63917117.14,66536124.43,73016078.68,65838855.63,71912349.89,71651559.21,75010661.23,38461098.66,48288916.68,37947105.44,46375536.55,46585479.6,40024363.76,59532156.45,53845565.85,49688774.53,43524009.74,47391975.68,48673344.54,0
Methyl cinnamate,77547410.73,76948724.57,71751201.54,72866120.7,105109815.8,67853621.66,73016998.5,70050592.64,70441584.01,70699663.5,66038805.12,62103129.73,54034839.75,55621566.85,56416641.09,54955906.98,55447020.47,55268813.47,66819244.49,64586620.84,69469354.44,61838994.85,63777334.64,61203180.43,68662801.01,80844068.54,61558333.6,74784752.7,82527268.04,69680829.65,85849405.06,90979900.67,85542512.52,74484155.6,85845618.23,94273723.39,0
2-Hydroxycinnamic acid,28601395.82,39278337.47,36314141,42061125.19,46532626.1,43196134,36408921.62,32861188.32,37482622.49,33857123.78,40735947.88,33386306.39,32723249.84,28473386.87,32801164.58,36036759.19,32522088.31,27494276.69,27582708.51,28705510.84,30661820.48,31025956.8,33733550.14,34434218.09,79385904.61,72096768.74,46890420.66,83231848.05,47290352.31,61359453.66,44877582.7,51694242.57,44757623.78,45517637.38,37034274.22,31248798.64,0
